연도,일시,측정소,PM2.5
4,01-03 00:00,공주,0.10976403653290774
4,01-03 01:00,공주,0.11024725709135057
4,01-03 02:00,공주,0.11131292240935212
4,01-03 03:00,공주,0.11288840915658577
4,01-03 04:00,공주,0.11486635051484252
4,01-03 05:00,공주,0.11711195304925981
4,01-03 06:00,공주,0.11947218265815074
4,01-03 07:00,공주,0.12178619359413326
4,01-03 08:00,공주,0.12389628983600404
4,01-03 09:00,공주,0.12565867181197848
4,01-03 10:00,공주,0.12695323610286785
4,01-03 11:00,공주,0.12769176029161672
4,01-03 12:00,공주,0.12782391517523076
4,01-03 13:00,공주,0.12734069461678793
4,01-03 14:00,공주,0.12627502929878637
4,01-03 15:00,공주,0.12469954255155274
4,01-03 16:00,공주,0.12272160119329598
4,01-03 17:00,공주,0.1204759986588787
4,01-03 18:00,공주,0.11811576904998777
4,01-03 19:00,공주,0.11580175811400525
4,01-03 20:00,공주,0.11369166187213448
4,01-03 21:00,공주,0.11192927989616003
4,01-03 22:00,공주,0.11063471560527063
4,01-03 23:00,공주,0.10989619141652177
4,01-04 00:00,공주,0.10976403653290774
4,01-04 01:00,공주,0.11024725709135057
4,01-04 02:00,공주,0.11131292240935212
4,01-04 03:00,공주,0.11288840915658577
4,01-04 04:00,공주,0.11486635051484252
4,01-04 05:00,공주,0.11711195304925981
4,01-04 06:00,공주,0.11947218265815074
4,01-04 07:00,공주,0.12178619359413326
4,01-04 08:00,공주,0.12389628983600404
4,01-04 09:00,공주,0.12565867181197848
4,01-04 10:00,공주,0.12695323610286785
4,01-04 11:00,공주,0.12769176029161672
4,01-04 12:00,공주,0.12782391517523076
4,01-04 13:00,공주,0.12734069461678793
4,01-04 14:00,공주,0.12627502929878637
4,01-04 15:00,공주,0.12469954255155274
4,01-04 16:00,공주,0.12272160119329598
4,01-04 17:00,공주,0.1204759986588787
4,01-04 18:00,공주,0.11811576904998777
4,01-04 19:00,공주,0.11580175811400525
4,01-04 20:00,공주,0.11369166187213448
4,01-04 21:00,공주,0.11192927989616003
4,01-04 22:00,공주,0.11063471560527063
4,01-04 23:00,공주,0.10989619141652177
4,01-05 00:00,공주,0.10976403653290774
4,01-05 01:00,공주,0.11024725709135057
4,01-05 02:00,공주,0.11131292240935212
4,01-05 03:00,공주,0.11288840915658577
4,01-05 04:00,공주,0.11486635051484252
4,01-05 05:00,공주,0.11711195304925981
4,01-05 06:00,공주,0.11947218265815074
4,01-05 07:00,공주,0.12178619359413326
4,01-05 08:00,공주,0.12389628983600404
4,01-05 09:00,공주,0.12565867181197848
4,01-05 10:00,공주,0.12695323610286785
4,01-05 11:00,공주,0.12769176029161672
4,01-05 12:00,공주,0.12782391517523076
4,01-05 13:00,공주,0.12734069461678793
4,01-05 14:00,공주,0.12627502929878637
4,01-05 15:00,공주,0.12469954255155274
4,01-05 16:00,공주,0.12272160119329598
4,01-05 17:00,공주,0.1204759986588787
4,01-05 18:00,공주,0.11811576904998777
4,01-05 19:00,공주,0.11580175811400525
4,01-05 20:00,공주,0.11369166187213448
4,01-05 21:00,공주,0.11192927989616003
4,01-05 22:00,공주,0.11063471560527063
4,01-05 23:00,공주,0.10989619141652177
4,01-08 00:00,공주,0.11503025769516986
4,01-08 01:00,공주,0.11551347825361269
4,01-08 02:00,공주,0.11657914357161424
4,01-08 03:00,공주,0.11815463031884789
4,01-08 04:00,공주,0.12013257167710464
4,01-08 05:00,공주,0.12237817421152193
4,01-08 06:00,공주,0.12473840382041286
4,01-08 07:00,공주,0.1270524147563954
4,01-08 08:00,공주,0.12916251099826614
4,01-08 09:00,공주,0.13092489297424062
4,01-08 10:00,공주,0.13221945726513
4,01-08 11:00,공주,0.13295798145387888
4,01-08 12:00,공주,0.1330901363374929
4,01-08 13:00,공주,0.13260691577905007
4,01-08 14:00,공주,0.13154125046104853
4,01-08 15:00,공주,0.12996576371381485
4,01-08 16:00,공주,0.1279878223555581
4,01-08 17:00,공주,0.1257422198211408
4,01-08 18:00,공주,0.1233819902122499
4,01-08 19:00,공주,0.12106797927626738
4,01-08 20:00,공주,0.1189578830343966
4,01-08 21:00,공주,0.11719550105842215
4,01-08 22:00,공주,0.11590093676753276
4,01-08 23:00,공주,0.11516241257878389
4,01-09 00:00,공주,0.11503025769516986
4,01-09 01:00,공주,0.11551347825361269
4,01-09 02:00,공주,0.11657914357161424
4,01-09 03:00,공주,0.11815463031884789
4,01-09 04:00,공주,0.12013257167710464
4,01-09 05:00,공주,0.12237817421152193
4,01-09 06:00,공주,0.12473840382041286
4,01-09 07:00,공주,0.1270524147563954
4,01-09 08:00,공주,0.12916251099826614
4,01-09 09:00,공주,0.13092489297424062
4,01-09 10:00,공주,0.13221945726513
4,01-09 11:00,공주,0.13295798145387888
4,01-09 12:00,공주,0.1330901363374929
4,01-09 13:00,공주,0.13260691577905007
4,01-09 14:00,공주,0.13154125046104853
4,01-09 15:00,공주,0.12996576371381485
4,01-09 16:00,공주,0.1279878223555581
4,01-09 17:00,공주,0.1257422198211408
4,01-09 18:00,공주,0.1233819902122499
4,01-09 19:00,공주,0.12106797927626738
4,01-09 20:00,공주,0.1189578830343966
4,01-09 21:00,공주,0.11719550105842215
4,01-09 22:00,공주,0.11590093676753276
4,01-09 23:00,공주,0.11516241257878389
4,01-10 00:00,공주,0.11503025769516986
4,01-10 01:00,공주,0.11551347825361269
4,01-10 02:00,공주,0.11657914357161424
4,01-10 03:00,공주,0.11815463031884789
4,01-10 04:00,공주,0.12013257167710464
4,01-10 05:00,공주,0.12237817421152193
4,01-10 06:00,공주,0.12473840382041286
4,01-10 07:00,공주,0.1270524147563954
4,01-10 08:00,공주,0.12916251099826614
4,01-10 09:00,공주,0.13092489297424062
4,01-10 10:00,공주,0.13221945726513
4,01-10 11:00,공주,0.13295798145387888
4,01-10 12:00,공주,0.1330901363374929
4,01-10 13:00,공주,0.13260691577905007
4,01-10 14:00,공주,0.13154125046104853
4,01-10 15:00,공주,0.12996576371381485
4,01-10 16:00,공주,0.1279878223555581
4,01-10 17:00,공주,0.1257422198211408
4,01-10 18:00,공주,0.1233819902122499
4,01-10 19:00,공주,0.12106797927626738
4,01-10 20:00,공주,0.1189578830343966
4,01-10 21:00,공주,0.11719550105842215
4,01-10 22:00,공주,0.11590093676753276
4,01-10 23:00,공주,0.11516241257878389
4,01-13 00:00,공주,0.1027680120062872
4,01-13 01:00,공주,0.10325123256473004
4,01-13 02:00,공주,0.10431689788273157
4,01-13 03:00,공주,0.10589238462996524
4,01-13 04:00,공주,0.10787032598822198
4,01-13 05:00,공주,0.11011592852263927
4,01-13 06:00,공주,0.11247615813153021
4,01-13 07:00,공주,0.11479016906751273
4,01-13 08:00,공주,0.1169002653093835
4,01-13 09:00,공주,0.11866264728535796
4,01-13 10:00,공주,0.11995721157624734
4,01-13 11:00,공주,0.1206957357649962
4,01-13 12:00,공주,0.12082789064861023
4,01-13 13:00,공주,0.1203446700901674
4,01-13 14:00,공주,0.11927900477216585
4,01-13 15:00,공주,0.1177035180249322
4,01-13 16:00,공주,0.11572557666667546
4,01-13 17:00,공주,0.11347997413225816
4,01-13 18:00,공주,0.11111974452336723
4,01-13 19:00,공주,0.10880573358738471
4,01-13 20:00,공주,0.10669563734551393
4,01-13 21:00,공주,0.10493325536953949
4,01-13 22:00,공주,0.10363869107865009
4,01-13 23:00,공주,0.10290016688990124
4,01-14 00:00,공주,0.1027680120062872
4,01-14 01:00,공주,0.10325123256473004
4,01-14 02:00,공주,0.10431689788273157
4,01-14 03:00,공주,0.10589238462996524
4,01-14 04:00,공주,0.10787032598822198
4,01-14 05:00,공주,0.11011592852263927
4,01-14 06:00,공주,0.11247615813153021
4,01-14 07:00,공주,0.11479016906751273
4,01-14 08:00,공주,0.1169002653093835
4,01-14 09:00,공주,0.11866264728535796
4,01-14 10:00,공주,0.11995721157624734
4,01-14 11:00,공주,0.1206957357649962
4,01-14 12:00,공주,0.12082789064861023
4,01-14 13:00,공주,0.1203446700901674
4,01-14 14:00,공주,0.11927900477216585
4,01-14 15:00,공주,0.1177035180249322
4,01-14 16:00,공주,0.11572557666667546
4,01-14 17:00,공주,0.11347997413225816
4,01-14 18:00,공주,0.11111974452336723
